taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	modified	namePublishedIn	scientificNameID	verbatimTaxonRank	taxonRemarks	higherClassification
202423			Animalia												kingdom	valid	1999-10-27		202423			
914154		202423	Bilateria		Animalia										subkingdom	valid	2017-06-28		914154			Animalia
914156		914154	Deuterostomia		Animalia										infrakingdom	valid	2013-11-04		914156			Animalia|Bilateria
158852		914156	Chordata		Animalia										phylum	valid	2013-11-04		158852			Animalia|Bilateria|Deuterostomia
331030		158852	Vertebrata		Animalia	Chordata									subphylum	valid	2013-11-04		331030			Animalia|Bilateria|Deuterostomia|Chordata
550210	331030		Caudiverbera Laurenti, 1768	Laurenti, 1768	Animalia	Chordata									genus	synonym	2009-09-01		550210		David Nicolson - ITIS Data Development Coordinator: Myers & Stothers (2006) assert that the type species of Caudiverbera Laurenti 1768 is mythical, 'belonging neither to the Amphibia nor Reptilia.' There appears to be nowhere particularly useful to attach this name in ITIS, other than Vertebrata. About all that can be said of it is that it is a quadriped	Animalia|Bilateria|Deuterostomia|Chordata
914177	331030		Craniata		Animalia	Chordata									subphylum	heterotypicSynonym	2013-11-04		914177			Animalia|Bilateria|Deuterostomia|Chordata
914179		331030	Gnathostomata		Animalia	Chordata									infraphylum	valid	2017-03-30		914179			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
159783	914179		Gnathostomata		Animalia	Chordata									superclass	synonym	2013-11-04		159783		David Nicolson - ITIS Data Development Coordinator: Ruggiero et al. (2013) treat the gnathostomes as a vertebrate infraphylum rather than as a superclass	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
161030	914179		Osteichthyes		Animalia	Chordata									superclass	synonym	2017-03-30		161030		David Nicolson - ITIS Data Development Coordinator: Superclass Osteichthyes was formerly used for classes Sarcopterygii and Actinopterygii. Those two are now elevated as superclasses, and Osteichthyes is not used in this classification (Ruggiero et al., 2015), although it is still used by some sources for the group containing Sarcopterygii & Actinopterygii, in contrast to the fossil group Acanthodii	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
914181		914179	Tetrapoda		Animalia	Chordata									superclass	valid	2013-11-04		914181			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata
173747		914181	Reptilia Laurenti, 1768	Laurenti, 1768	Animalia	Chordata									class	valid	2020-07-26		173747			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda
173748	173747		Anapsida		Animalia	Chordata									subclass	heterotypicSynonym	2001-06-11		173748		David Nicolson - ITIS Data Development Coordinator: Diapsida and Anapsida have been used to divide Reptilia, particularly when including fossils in the classification; ITIS is following a somewhat different classification	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda
173859	173747		Lepidosauria		Animalia	Chordata									superorder	heterotypicSynonym	2005-07-29		173859		David Nicolson - ITIS Data Development Coordinator: Lepidosauria has been used to refer to non-archosaurian reptiles (i.e. to rhynchocepalians and squamates), but ITIS is following a somewhat different classification	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda
174357	173747		Archosauria		Animalia	Chordata									superorder	heterotypicSynonym	2001-06-11		174357		David Nicolson - ITIS Data Development Coordinator: Archosauria has been used to refer to non-lepidosaurian reptiles (i.e. to crocodiles, dinosaurs and birds), but ITIS is following a somewhat different classification	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda
564527	173747		Diapsida		Animalia	Chordata									subclass	heterotypicSynonym	2001-06-11		564527		David Nicolson - ITIS Data Development Coordinator: Diapsida and Anapsida have been used to divide Reptilia, particularly when including fossils in the classification; ITIS is following a somewhat different classification	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda
551734		173747	Crocodilia		Animalia	Chordata	Reptilia								order	valid	2021-12-19		551734			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Reptilia
174358	551734		Crocodylia		Animalia	Chordata	Reptilia								order	homotypicSynonym	2021-12-19		174358		David F. Mitchell, ITIS Data Development Specialist: CITES: Appendix II except the species included in Appendix I, adopted at the 15th meeting of the Conference of the Parties (Doha, 2010)	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Reptilia
845138		174359	Mecistops Gray, 1844	Gray, 1844	Animalia	Chordata	Reptilia	Crocodilia		Crocodylidae					genus	valid	2021-12-19	Gray, John Edward. 1844-01-01. Catalogue of the tortoises, crocodiles, and amphisbaenians, in the collection of the British Museum. vii + 80. Trustees of the British Museum (Natural History). London, UK. Available online via Biodiversity Heritage Library at http://biodiversitylibrary.org/page/18728276.	845138			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Reptilia|Crocodilia|Crocodylidae
