taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	modified	namePublishedIn	scientificNameID	verbatimTaxonRank	taxonRemarks	higherClassification
202423			Animalia												kingdom	valid	1999-10-27		202423			
914154		202423	Bilateria		Animalia										subkingdom	valid	2017-06-28		914154			Animalia
914156		914154	Deuterostomia		Animalia										infrakingdom	valid	2013-11-04		914156			Animalia|Bilateria
158852		914156	Chordata		Animalia										phylum	valid	2013-11-04		158852			Animalia|Bilateria|Deuterostomia
331030		158852	Vertebrata		Animalia	Chordata									subphylum	valid	2013-11-04		331030			Animalia|Bilateria|Deuterostomia|Chordata
550210	331030		Caudiverbera Laurenti, 1768	Laurenti, 1768	Animalia	Chordata									genus	synonym	2009-09-01		550210		David Nicolson - ITIS Data Development Coordinator: Myers & Stothers (2006) assert that the type species of Caudiverbera Laurenti 1768 is mythical, 'belonging neither to the Amphibia nor Reptilia.' There appears to be nowhere particularly useful to attach this name in ITIS, other than Vertebrata. About all that can be said of it is that it is a quadriped	Animalia|Bilateria|Deuterostomia|Chordata
914177	331030		Craniata		Animalia	Chordata									subphylum	heterotypicSynonym	2013-11-04		914177			Animalia|Bilateria|Deuterostomia|Chordata
914179		331030	Gnathostomata		Animalia	Chordata									infraphylum	valid	2017-03-30		914179			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
159783	914179		Gnathostomata		Animalia	Chordata									superclass	synonym	2013-11-04		159783		David Nicolson - ITIS Data Development Coordinator: Ruggiero et al. (2013) treat the gnathostomes as a vertebrate infraphylum rather than as a superclass	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
161030	914179		Osteichthyes		Animalia	Chordata									superclass	synonym	2017-03-30		161030		David Nicolson - ITIS Data Development Coordinator: Superclass Osteichthyes was formerly used for classes Sarcopterygii and Actinopterygii. Those two are now elevated as superclasses, and Osteichthyes is not used in this classification (Ruggiero et al., 2015), although it is still used by some sources for the group containing Sarcopterygii & Actinopterygii, in contrast to the fossil group Acanthodii	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
914181		914179	Tetrapoda		Animalia	Chordata									superclass	valid	2013-11-04		914181			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata
179913		914181	Mammalia Linnaeus, 1758	Linnaeus, 1758	Animalia	Chordata									class	valid	2014-12-22		179913			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda
179916		179913	Theria Parker and Haswell, 1897	Parker and Haswell, 1897	Animalia	Chordata	Mammalia								subclass	valid	2014-12-22		179916			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia
179917		179916	Metatheria Huxley, 1880	Huxley, 1880	Animalia	Chordata	Mammalia								infraclass	valid	2006-11-28		179917			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria
179918	179917		Marsupialia Illiger, 1811	Illiger, 1811	Animalia	Chordata	Mammalia								superorder	synonym	2006-11-28		179918		David Nicolson - ITIS Data Development Coordinator: Wilson & Reeder (eds., 1993 & 2005) do not use the scientific name Marsupialia as a valid (correct) name for a taxon. See comments on various metatherian orders	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria
552297		179917	Diprotodontia Owen, 1866	Owen, 1866	Animalia	Chordata	Mammalia								order	valid	2006-11-28		552297		Wilson & Reeder, eds. (2005): Comments: Recognized as an order by Aplin and Archer (1987) who proposed a new syncretic classification of the marsupials. Divided into three suborders by Kirsch et al. (1997); their arrangement is followed here	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Metatheria
709307		552297	Vombatiformes Burnett, 1830	Burnett, 1830	Animalia	Chordata	Mammalia	Diprotodontia							suborder	valid	2006-11-28		709307			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Metatheria|Diprotodontia
552320		709307	Vombatidae Burnett, 1829	Burnett, 1829	Animalia	Chordata	Mammalia	Diprotodontia							family	valid	2006-11-28		552320		Wilson & Reeder, eds. (2005): Comments: Phascolomyidae Goldfuss, 1820, is based on Phascolomis, a junior synonym (Haltenorth, 1958:32). Because Phascolomyidae was replaced with Vombatidae before 1961, and because Vombatidae has won general acceptance, it is to be maintained (Art. 40.2 of the International Code of Zoological Nomenclature, International Commission on Zoological Nomenclature, 1999)	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Metatheria|Diprotodontia|Vombatiformes
552430		552320	Vombatus É. Geoffroy Saint-Hilaire, 1803	É. Geoffroy Saint-Hilaire, 1803	Animalia	Chordata	Mammalia	Diprotodontia		Vombatidae					genus	valid	2006-11-28		552430			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Metatheria|Diprotodontia|Vombatiformes|Vombatidae
