taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	modified	namePublishedIn	scientificNameID	verbatimTaxonRank	taxonRemarks	higherClassification
202423			Animalia												kingdom	valid	1999-10-27		202423			
914154		202423	Bilateria		Animalia										subkingdom	valid	2017-06-28		914154			Animalia
914156		914154	Deuterostomia		Animalia										infrakingdom	valid	2013-11-04		914156			Animalia|Bilateria
158852		914156	Chordata		Animalia										phylum	valid	2013-11-04		158852			Animalia|Bilateria|Deuterostomia
331030		158852	Vertebrata		Animalia	Chordata									subphylum	valid	2013-11-04		331030			Animalia|Bilateria|Deuterostomia|Chordata
550210	331030		Caudiverbera Laurenti, 1768	Laurenti, 1768	Animalia	Chordata									genus	synonym	2009-09-01		550210		David Nicolson - ITIS Data Development Coordinator: Myers & Stothers (2006) assert that the type species of Caudiverbera Laurenti 1768 is mythical, 'belonging neither to the Amphibia nor Reptilia.' There appears to be nowhere particularly useful to attach this name in ITIS, other than Vertebrata. About all that can be said of it is that it is a quadriped	Animalia|Bilateria|Deuterostomia|Chordata
914177	331030		Craniata		Animalia	Chordata									subphylum	heterotypicSynonym	2013-11-04		914177			Animalia|Bilateria|Deuterostomia|Chordata
914179		331030	Gnathostomata		Animalia	Chordata									infraphylum	valid	2017-03-30		914179			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
159783	914179		Gnathostomata		Animalia	Chordata									superclass	synonym	2013-11-04		159783		David Nicolson - ITIS Data Development Coordinator: Ruggiero et al. (2013) treat the gnathostomes as a vertebrate infraphylum rather than as a superclass	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
161030	914179		Osteichthyes		Animalia	Chordata									superclass	synonym	2017-03-30		161030		David Nicolson - ITIS Data Development Coordinator: Superclass Osteichthyes was formerly used for classes Sarcopterygii and Actinopterygii. Those two are now elevated as superclasses, and Osteichthyes is not used in this classification (Ruggiero et al., 2015), although it is still used by some sources for the group containing Sarcopterygii & Actinopterygii, in contrast to the fossil group Acanthodii	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
914181		914179	Tetrapoda		Animalia	Chordata									superclass	valid	2013-11-04		914181			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata
179913		914181	Mammalia Linnaeus, 1758	Linnaeus, 1758	Animalia	Chordata									class	valid	2014-12-22		179913			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda
179916		179913	Theria Parker and Haswell, 1897	Parker and Haswell, 1897	Animalia	Chordata	Mammalia								subclass	valid	2014-12-22		179916			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia
179925		179916	Eutheria Gill, 1872	Gill, 1872	Animalia	Chordata	Mammalia								infraclass	valid	2015-04-30		179925		David Nicolson - ITIS Data Development Coordinator: Mammal infraclass Eutheria Gill, 1872 (TSN 179925) is 'pseudohomonym' of (same kingdom but rank not covered by Nomenclatural Code, same name as) beetle genus Eutheria Spaeth, 1909 (TSN 837961)	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria
180539		179925	Carnivora Bowdich, 1821	Bowdich, 1821	Animalia	Chordata	Mammalia								order	valid	2007-08-15		180539		Wilson & Reeder, eds. (2005): Comments: Higher taxonomic arrangement follows that of McKenna and Bell (1997), except that Ailuridae, Eupleridae, Mephitidae, and Odobenidae are raised to Family rank	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria
552304		180539	Feliformia Kretzoi, 1945	Kretzoi, 1945	Animalia	Chordata	Mammalia	Carnivora							suborder	valid	2007-08-15		552304			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora
180580		552304	Felidae Fischer de Waldheim, 1817	Fischer de Waldheim, 1817	Animalia	Chordata	Mammalia	Carnivora							family	valid	2007-08-15		180580		Wilson & Reeder, eds. (2005): Comments: Revised by Pocock (1917a, b, 1951), Weigel (1961), de Beaumont (1964), Hemmer (1978), Král and Zima (1980), Kratochvíl (1982c), Groves (1982a), Collier and O'Brien (1985), Salles (1992), Johnson and O'Brien (1997), McKenna and Bell (1997), Bininda-Emonds et al. (1999), and Mattern and McLennan (2000). Some (Honacki et al., 1982; McKenna and Bell, 1997; Van Gelder, 1977b) have followed Simpson (1945) and placed the majority of taxa in Felis, except for the large cats (i.e., Panthera and Acin....W. Christopher Wozencraft: Status: All Felidae on CITES - Appendix II except species included in Appendix I (and domesticated forms)	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Feliformia
