taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	modified	namePublishedIn	scientificNameID	verbatimTaxonRank	taxonRemarks	higherClassification
202423			Animalia												kingdom	valid	1999-10-27		202423			
914154		202423	Bilateria		Animalia										subkingdom	valid	2017-06-28		914154			Animalia
914156		914154	Deuterostomia		Animalia										infrakingdom	valid	2013-11-04		914156			Animalia|Bilateria
158852		914156	Chordata		Animalia										phylum	valid	2013-11-04		158852			Animalia|Bilateria|Deuterostomia
331030		158852	Vertebrata		Animalia	Chordata									subphylum	valid	2013-11-04		331030			Animalia|Bilateria|Deuterostomia|Chordata
550210	331030		Caudiverbera Laurenti, 1768	Laurenti, 1768	Animalia	Chordata									genus	synonym	2009-09-01		550210		David Nicolson - ITIS Data Development Coordinator: Myers & Stothers (2006) assert that the type species of Caudiverbera Laurenti 1768 is mythical, 'belonging neither to the Amphibia nor Reptilia.' There appears to be nowhere particularly useful to attach this name in ITIS, other than Vertebrata. About all that can be said of it is that it is a quadriped	Animalia|Bilateria|Deuterostomia|Chordata
914177	331030		Craniata		Animalia	Chordata									subphylum	heterotypicSynonym	2013-11-04		914177			Animalia|Bilateria|Deuterostomia|Chordata
914179		331030	Gnathostomata		Animalia	Chordata									infraphylum	valid	2017-03-30		914179			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
159783	914179		Gnathostomata		Animalia	Chordata									superclass	synonym	2013-11-04		159783		David Nicolson - ITIS Data Development Coordinator: Ruggiero et al. (2013) treat the gnathostomes as a vertebrate infraphylum rather than as a superclass	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
161030	914179		Osteichthyes		Animalia	Chordata									superclass	synonym	2017-03-30		161030		David Nicolson - ITIS Data Development Coordinator: Superclass Osteichthyes was formerly used for classes Sarcopterygii and Actinopterygii. Those two are now elevated as superclasses, and Osteichthyes is not used in this classification (Ruggiero et al., 2015), although it is still used by some sources for the group containing Sarcopterygii & Actinopterygii, in contrast to the fossil group Acanthodii	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata
914181		914179	Tetrapoda		Animalia	Chordata									superclass	valid	2013-11-04		914181			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata
179913		914181	Mammalia Linnaeus, 1758	Linnaeus, 1758	Animalia	Chordata									class	valid	2014-12-22		179913			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda
179916		179913	Theria Parker and Haswell, 1897	Parker and Haswell, 1897	Animalia	Chordata	Mammalia								subclass	valid	2014-12-22		179916			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia
179925		179916	Eutheria Gill, 1872	Gill, 1872	Animalia	Chordata	Mammalia								infraclass	valid	2015-04-30		179925		David Nicolson - ITIS Data Development Coordinator: Mammal infraclass Eutheria Gill, 1872 (TSN 179925) is 'pseudohomonym' of (same kingdom but rank not covered by Nomenclatural Code, same name as) beetle genus Eutheria Spaeth, 1909 (TSN 837961)	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria
180130		179925	Rodentia Bowdich, 1821	Bowdich, 1821	Animalia	Chordata	Mammalia								order	valid	2015-04-08		180130			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria
180273		180130	Myomorpha Brandt, 1855	Brandt, 1855	Animalia	Chordata	Mammalia	Rodentia							suborder	valid	2015-04-30		180273			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Rodentia
970141		180273	Muroidea Illiger, 1811	Illiger, 1811	Animalia	Chordata	Mammalia	Rodentia							superfamily	valid	2015-04-30		970141		Wilson & Reeder, eds. (2005): Comments: Although a loose group concept of Muroidea emerged with Gill's 1872 classification (as Myoidea), its contents and definition were most substantively advanced in Tullberg's (1899) seminal monograph (as Muriformes) and its usage popularized in Miller and Gidley's (1918) supergeneric arrangement of Rodentia (as Muroidae). The landmark classification of Simpson (1945) standardized the superfamily's spelling, using the now familiar family-group suffix. With the exception of Gliridae, included by...	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Rodentia|Myomorpha
970140	970141		Muriformes Tullberg, 1899	Tullberg, 1899	Animalia	Chordata	Mammalia	Rodentia							order	heterotypicSynonym	2015-04-30		970140		Wilson & Reeder, eds. (2005): Comments: See Family or Subfamily accounts for other family-group synonyms	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Rodentia|Myomorpha
970142	970141		Myoidea Gill, 1872	Gill, 1872	Animalia	Chordata	Mammalia	Rodentia							superfamily	heterotypicSynonym	2015-04-30		970142		Wilson & Reeder, eds. (2005): Comments: See Family or Subfamily accounts for other family-group synonyms	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Rodentia|Myomorpha
