taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	modified	namePublishedIn	scientificNameID	verbatimTaxonRank	taxonRemarks	higherClassification
202423			Animalia												kingdom	valid	1999-10-27		202423			
914154		202423	Bilateria		Animalia										subkingdom	valid	2017-06-28		914154			Animalia
914155		914154	Protostomia		Animalia										infrakingdom	valid	2017-06-28		914155			Animalia|Bilateria
914158		914155	Ecdysozoa		Animalia										superphylum	valid	2013-11-04		914158			Animalia|Bilateria|Protostomia
82696		914158	Arthropoda		Animalia										phylum	valid	2013-12-23		82696			Animalia|Bilateria|Protostomia|Ecdysozoa
563886		82696	Hexapoda		Animalia	Arthropoda									subphylum	valid	2013-12-23		563886			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda
99209	563886		Apterygota		Animalia	Arthropoda									subclass	synonym	2006-11-28		99209		David Nicolson - ITIS Data Development Coordinator: Apterygota is considered to be paraphyletic, corresponding to multiple taxonomic groups within the Hexapoda	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda
99208		563886	Insecta		Animalia	Arthropoda									class	valid	2013-12-23		99208			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda
100500		99208	Pterygota		Animalia	Arthropoda	Insecta								subclass	valid	2013-12-23		100500			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta
563890		100500	Neoptera		Animalia	Arthropoda	Insecta								infraclass	valid	2013-12-23		563890			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota
100501	563890		Exopterygota		Animalia	Arthropoda	Insecta								infraclass	synonym	2007-06-13		100501		David Nicolson - ITIS Data Development Coordinator: Although Exopterygota is used by some as a subdivision within the Neoptera, for the moment ITIS is not implementing this	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota
109215	563890		Endopterygota		Animalia	Arthropoda	Insecta								superorder	synonym	2007-06-13		109215		David Nicolson - ITIS Data Development Coordinator: Although Endopterygota is used by some as a subdivision within the Neoptera, for the moment ITIS is not implementing this	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota
914213		563890	Holometabola		Animalia	Arthropoda	Insecta								superorder	valid	2013-11-04		914213			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera
117232		914213	Lepidoptera		Animalia	Arthropoda	Insecta								order	valid	2013-11-04		117232			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola
117233	117232		Frenatae		Animalia	Arthropoda	Insecta								suborder	synonym	2005-12-13		117233		David Nicolson - ITIS Data Development Coordinator: Apparently both Frenatae and Jugatae are former suborders of Lepidoptera. They are not in current use and so are synonymized	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola
117234	117232		Macrolepidoptera		Animalia	Arthropoda	Insecta								suborder	synonym	2005-12-13		117234		NODC: NODC rank was Division C.David Nicolson - ITIS Data Development Coordinator: Apparently 'Macrolepidoptera' is not a formal taxonomic group	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola
117600	117232		Microlepidoptera		Animalia	Arthropoda	Insecta								suborder	synonym	2005-12-13		117600		NODC: NODC rank was Division C.David Nicolson - ITIS Data Development Coordinator: Apparently 'Microlepidoptera' is not a formal taxonomic group	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola
118827	117232		Jugatae		Animalia	Arthropoda	Insecta								suborder	synonym	2005-12-13		118827		David Nicolson - ITIS Data Development Coordinator: Apparently both Frenatae and Jugatae are former suborders of Lepidoptera. They are not in current use and so are synonymized	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola
117235		117232	Papilionoidea Latreille, 1802	Latreille, 1802	Animalia	Arthropoda	Insecta	Lepidoptera							superfamily	valid	2010-01-14		117235			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Lepidoptera
117276		117235	Nymphalidae Rafinesque, 1815	Rafinesque, 1815	Animalia	Arthropoda	Insecta	Lepidoptera	Papilionoidea						family	valid	2010-01-14		117276			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Lepidoptera|Papilionoidea
117275	117276		Heliconiidae		Animalia	Arthropoda	Insecta	Lepidoptera	Papilionoidea						family	synonym	2010-01-14		117275		David Nicolson - ITIS Data Development Coordinator: Pelham (2008:290) includes Subfamily Heliconiinae Swainson, 1822 within Family Nymphalidae	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Lepidoptera|Papilionoidea
